"转让人","受让人","申请人地区","受让人地址","转让人省份","受让人省份"
"深圳鹏渤信息科技有限公司; 安徽翰邦科技咨询有限公司; 安徽大学","安徽翰邦科技咨询有限公司; 深圳品阔信息技术有限公司; 深圳鹏渤信息科技有限公司","安徽","233000 安徽省蚌埠市淮上区明珠广场紫阳大厦1402室; 518000 广东省深圳市南山区招商街道南海大道1079号花园城数码大厦A座201房AR12号; 518109 广东省深圳市龙华区龙华街道清华社区清龙路6号港之龙科技园商务中心A、B栋B栋8层808","安徽","23"
"上海斐讯数据通信技术有限公司; 湖州帷幄知识产权运营有限公司; 杭州吉吉知识产权运营有限公司; 蚌埠立超信息科技有限公司","杭州吉吉知识产权运营有限公司; 北京臻翕翙新集团有限公司; 蚌埠立超信息科技有限公司; 湖州帷幄知识产权运营有限公司","上海","310000 浙江省杭州市滨江区西兴街道江淑路260号10242室; 100071 北京市丰台区长辛店镇东河沿村西博园(园博园6号门对面)5号楼307室; 233000 安徽省蚌埠市燕山路8319号(上理工科技园6号302室); 313000 浙江省湖州市吴兴区爱山街道新天地商务写字楼1019室","上海","31"
"杭州吉吉知识产权运营有限公司; 蚌埠立超信息科技有限公司; 湖州帷幄知识产权运营有限公司; 上海斐讯数据通信技术有限公司","蚌埠立超信息科技有限公司; 湖州帷幄知识产权运营有限公司; 北京中科海讯数字科技股份有限公司; 杭州吉吉知识产权运营有限公司","上海","233000 安徽省蚌埠市燕山路8319号(上理工科技园6号302室); 313000 浙江省湖州市吴兴区爱山街道新天地商务写字楼1019室; 100089 北京市海淀区地锦路33号院1号楼3层S6306室; 310000 浙江省杭州市滨江区西兴街道江淑路260号10242室","上海","23"
"杭州吉吉知识产权运营有限公司; 蚌埠叁零玖科技咨询有限公司; 湖州帷幄知识产权运营有限公司; 上海斐讯数据通信技术有限公司","蚌埠叁零玖科技咨询有限公司; 湖州帷幄知识产权运营有限公司; 上海达鱼电子商务有限公司; 杭州吉吉知识产权运营有限公司","上海","233000 安徽省蚌埠市龙子湖区凤阳西路东安市场3楼; 313001 浙江省湖州市吴兴区爱山街道新天地写字楼1019室; 200080 上海市虹口区东大名路391-393号(单号)4层(集中登记地); 310000 浙江省杭州市滨江区西兴街道江淑路260号10242室","上海","23"
"重庆图睿科技有限公司; 重庆大学","大拓无限(重庆)智能科技有限公司; 重庆图睿科技有限公司","重庆","401120 重庆市渝北区仙桃数据谷中路105号; 400061 重庆市南岸区南坪街道宏声路36号6栋2单元6-4号","重庆","40"
"上海斐讯数据通信技术有限公司; 蚌埠立超信息科技有限公司; 杭州吉吉知识产权运营有限公司; 湖州帷幄知识产权运营有限公司","杭州吉吉知识产权运营有限公司; 湖州帷幄知识产权运营有限公司; 蚌埠立超信息科技有限公司; 苏州赛舟信息科技有限公司","上海","310000 浙江省杭州市滨江区西兴街道江淑路260号10242室; 313000 浙江省湖州市吴兴区爱山街道新天地商务写字楼1019室; 233000 安徽省蚌埠市燕山路8319号(上理工科技园6号302室); 215000 江苏省苏州市常熟市常熟经济技术开发区高新技术产业园建业路2号1幢","上海","31"
"杭州吉吉知识产权运营有限公司; 湖州帷幄知识产权运营有限公司; 蚌埠立超信息科技有限公司; 上海斐讯数据通信技术有限公司","蚌埠立超信息科技有限公司; 吴志剑; 湖州帷幄知识产权运营有限公司; 杭州吉吉知识产权运营有限公司","上海","233000 安徽省蚌埠市燕山路8319号(上理工科技园6号302室); 518000 广东省深圳市罗湖区怡景路2003号怡景花园贵景道7号; 313000 浙江省湖州市吴兴区爱山街道新天地商务写字楼1019室; 310000 浙江省杭州市滨江区西兴街道江淑路260号10242室","上海","23"
"哈尔滨工业大学(威海)","哈尔滨工业大学(威海); 山东辰晶光电科技有限公司","山东","264209 山东省威海市文化西路2号","山东","26"
"信号有限责任公司; 信号公司","斯普兰克公司; 信号有限责任公司","美国","美国加利福尼亚; 加利福尼亚州","美国","美国"
"上海斐讯数据通信技术有限公司; 杭州吉吉知识产权运营有限公司; 湖州帷幄知识产权运营有限公司","杭州吉吉知识产权运营有限公司; 湖州帷幄知识产权运营有限公司; 深圳市新创智慧科技有限公司","上海","310000 浙江省杭州市滨江区西兴街道江淑路260号10242室; 313000 浙江省湖州市吴兴区爱山街道新天地商务写字楼1019室; 518000 广东省深圳市南山区招商街道沿山社区深圳市南山区沿山路43号创业壹号大楼A栋107(入驻深圳网博商务秘书有限公司)","上海","31"
