"转让人","受让人","IPC分类号","申请人地区","受让人地址","转让人省份","受让人省份"
"北京意锐新创科技有限公司","中关村科技租赁股份有限公司","G06K19/06","北京","100012 北京市朝阳区容达路21号楼-2至16层101内16层1610","北京","10"
"浪潮软件集团有限公司","浪潮软件科技有限公司","G06Q40/00; G06F17/30; H04L29/06","山东","250100 山东省济南市高新区浪潮路1036号浪潮科技园","山东","25"
"山东爱城市网信息技术有限公司","浪潮卓数大数据产业发展有限公司","G06F21/32; G06F7/58; H04L9/06; H04L9/08","江苏","214002 江苏省无锡市无锡经济开发区金融一街15号1101、1102、1103、1104、1105、1106、1107、1108","江苏","21"
"重庆大学","深圳天珑无线科技有限公司","H04L1/00","重庆","518053 广东省深圳市南山区华侨城东部工业区H3栋2-4楼","重庆","51"
"松下电器(美国)知识产权公司","松下电器产业株式会社","H04L5/00; H04W72/04","日本","日本大阪府","日本","日本"
"腾讯科技(深圳)有限公司","深圳市腾讯计算机系统有限公司","H04L12/58","广东","深圳市南山区高新区高新南一路飞亚达大厦5-10楼  邮编 :  518057","广东","深圳"
"重庆邮电大学","深圳万知达技术转移中心有限公司","H04L9/40; H04L41/0893","重庆","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1003","重庆","51"
"南京大学","华为技术有限公司","H04N19/167; H04N19/124; H04N19/13; H04N19/65; H04N19/154; G06T9/00; G06T3/40","江苏","518129 广东省深圳市龙岗区坂田华为总部办公楼","江苏","51"
"哈尔滨工业大学","广州小鹏汽车科技有限公司","G06T7/13; G06T7/136","广东","510000 广东省广州市广州中新广州知识城九佛建设路333号245室","广东","51"
"西安工程大学","温州大学","G06F17/30","浙江","325036 浙江省温州市瓯海区东方南路38号温州市国家大学科技园孵化器","浙江","32"
"英业达股份有限公司","英业达科技有限公司; 英业达股份有限公司","G06F1/26","台湾","201114 上海市闵行区浦星公路789号","台湾","20"
"程博","深圳市兴海物联科技有限公司","H04L43/045; H04L43/024; G16Y40/10","广东","518000 广东省深圳市福田区福田街道福南社区世贸广场101-1","广东","51"
"展讯通信(上海)有限公司; 芯鑫融资租赁(北京)有限责任公司; 芯鑫融资租赁(厦门)有限责任公司; 芯鑫融资租赁有限责任公司","芯鑫融资租赁(厦门)有限责任公司; 展讯通信(上海)有限公司; 芯鑫融资租赁(北京)有限责任公司; 芯鑫融资租赁有限责任公司","H04L1/00; H04W72/12","上海","361012 福建省厦门市中国(福建)自由贸易试验区厦门片区象屿路97号厦门国际航运中心D栋8层05单元; 201203 上海市浦东新区中国(上海)自由贸易试验区祖冲之路2288; 201203 上海市浦东新区张江高科技园区祖冲之路2288弄展讯中心1号楼; 100033 北京市西城区金融街乙9号威斯汀行政公寓2062室; 200127 中国(上海)自由贸易试验区张杨路707号32楼3205F室","上海","36"
"北京房江湖科技有限公司","贝壳找房(北京)科技有限公司","G06F30/13; G06T7/12; G06T7/62","北京","100085 北京市海淀区西二旗西路2号院35号楼01层102-1","北京","10"
