node,degree,pagerank,assigner_count,assignee_count,total_activity
吴东辉,1,0.0007613999993623027,1,0,1
福建爱特点信息科技有限公司,3,0.002703545978676123,0,3,3
浪潮通信技术有限公司,3,0.006214684002043062,1,2,3
浪潮软件科技有限公司,3,0.006240860905404908,1,2,3
泰州悦诚科技信息咨询中心,2,0.0007613999993623027,2,0,2
读书郎教育科技有限公司,2,0.001732472989019213,0,2,2
黄燕云,1,0.0007613999993623027,1,0,1
日本电气株式会社,3,0.0007613999993623027,3,0,3
瑞萨电子株式会社,3,0.0015166789913176773,0,3,3
上海博泰悦臻电子设备制造有限公司; 上海博泰悦臻网络技术服务有限公司,1,0.0007613999993623027,1,0,1
上海博泰悦臻电子设备制造有限公司,2,0.0014087819924669094,1,1,2
艾利森电话股份有限公司; 克拉斯特有限责任公司,1,0.0007613999993623027,1,0,1
阿里巴巴(中国)有限公司; 优酷网络技术(北京)有限公司,1,0.0007613999993623027,1,0,1
阿里云计算有限公司; 阿里巴巴(中国)有限公司,2,0.0014087819924669094,1,1,2
南方电网数字电网研究院有限公司,2,0.0007613999993623027,2,0,2
南方电网数字平台科技(广东)有限公司,2,0.0013008849936161418,0,2,2
桂林电子科技大学,1,0.0007613999993623027,1,0,1
程博,2,0.0007613999993623027,2,0,2
中国科学院空天信息创新研究院,2,0.001732472989019213,0,2,2
乐天株式会社,4,0.001682289663674487,0,4,4
南通大学,3,0.0007613999993623027,3,0,3
爱特梅尔公司,2,0.0007613999993623027,2,0,2
浙江工业大学,4,0.0007613999993623027,4,0,4
湖州优研知识产权服务有限公司,2,0.0010850909959146061,0,2,2
泰州市朗嘉馨网络科技有限公司,2,0.0014087819924669094,1,1,2
上海臻客信息技术服务有限公司,3,0.0026066340090012295,0,3,3
深圳智链物联科技有限公司,1,0.0007613999993623027,1,0,1
佛山市润千宇知识产权服务有限公司,3,0.001663110632615148,0,3,3
安徽理工大学,1,0.0007613999993623027,1,0,1
中国矿业大学,2,0.0014087819924669094,1,1,2
鸿富锦精密工业(深圳)有限公司; 鸿海精密工业股份有限公司,4,0.0007613999993623027,4,0,4
鸿富锦精密电子(天津)有限公司; 鸿海精密工业股份有限公司,2,0.0009232454976384545,1,1,2
韶关市启之信息技术有限公司,2,0.0007613999993623027,2,0,2
江苏艾德锐电子科技有限公司,1,0.0010850909959146061,0,1,1
阿里巴巴(中国)有限公司,7,0.0010958899971944829,5,2,7
北京意锐新创科技有限公司,1,0.0007613999993623027,1,0,1
中关村科技租赁股份有限公司,1,0.0014087819924669094,0,1,1
浪潮软件集团有限公司,3,0.0007613999993623027,3,0,3
山东爱城市网信息技术有限公司,3,0.0009232454976384545,2,1,3
重庆大学,7,0.0014087819924669094,5,2,7
深圳天珑无线科技有限公司,4,0.002019658148388221,1,3,4
松下电器产业株式会社,4,0.0014979435134868909,3,1,4
腾讯科技(深圳)有限公司,6,0.003193204510484314,4,2,6
深圳市腾讯计算机系统有限公司,3,0.0014402352937336073,2,1,3
南京大学,1,0.0007613999993623027,1,0,1
哈尔滨工业大学,3,0.0014087819924669094,2,1,3
广州小鹏汽车科技有限公司,3,0.007109445430233935,1,2,3
西安工程大学,2,0.0007613999993623027,2,0,2
英业达股份有限公司,2,0.0007613999993623027,2,0,2
英业达科技有限公司; 英业达股份有限公司,3,0.0010850909959146061,2,1,3
深圳市兴海物联科技有限公司,3,0.0018539384999308258,0,3,3
展讯通信(上海)有限公司; 芯鑫融资租赁(北京)有限责任公司; 芯鑫融资租赁(厦门)有限责任公司; 芯鑫融资租赁有限责任公司,4,0.0007613999993623027,4,0,4
芯鑫融资租赁(厦门)有限责任公司; 展讯通信(上海)有限公司; 芯鑫融资租赁(北京)有限责任公司; 芯鑫融资租赁有限责任公司,6,0.005263144954028425,2,4,6
北京房江湖科技有限公司,2,0.004993430286610057,1,1,2
贝壳找房(北京)科技有限公司,2,0.004993430286610057,1,1,2
三菱电机株式会社,3,0.0007613999993623027,3,0,3
沈阳大学,1,0.0007613999993623027,1,0,1
深圳恒远志达信息科技有限公司,2,0.001732472989019213,0,2,2
山东师范大学,5,0.0007613999993623027,5,0,5
浪潮电子信息产业股份有限公司,2,0.0007613999993623027,2,0,2
欧芬诺有限责任公司,3,0.0007613999993623027,3,0,3
荣耀终端有限公司,3,0.0030989691027702966,0,3,3
广州小鹏自动驾驶科技有限公司,2,0.006785754433681631,1,1,2
成都亚度克升科技有限公司,1,0.0007613999993623027,1,0,1
中数智创科技有限公司,1,0.0014087819924669094,0,1,1
田雪松; 北京奇禄管理咨询有限公司; 北京拓思德科技有限公司,2,0.002226036148037369,0,2,2
飞思卡尔半导体公司,4,0.0010850909959146061,3,1,4
恩智浦美国有限公司,2,0.001392629997521094,0,2,2
武汉轻工大学,1,0.0007613999993623027,1,0,1
华东交通大学,3,0.0007613999993623027,3,0,3
广州大鱼创福科技有限公司,9,0.002830710298750242,0,9,9
武汉科技大学,3,0.0007613999993623027,3,0,3
东北大学,1,0.0009771939970638385,0,1,1
黑莓有限公司,1,0.0007613999993623027,1,0,1
上海浪潮云计算服务有限公司,3,0.00133868149809571,1,2,3
武汉康慧然信息技术咨询有限公司,2,0.0007613999993623027,2,0,2
链博(成都)科技有限公司,2,0.001732472989019213,0,2,2
深圳市宇恒互动科技开发有限公司,1,0.0007613999993623027,1,0,1
深圳荞漾人工智能集团有限公司,1,0.0014087819924669094,0,1,1
浙江工商大学,2,0.0007613999993623027,2,0,2
河北凯通信息技术服务有限公司,2,0.0014087819924669094,0,2,2
皇家飞利浦有限公司,4,0.004683453792777993,2,2,4
北京小米移动软件有限公司,6,0.0044777315288903555,1,5,6
脸谱公司,3,0.0016740685440346846,0,3,3
深圳市赛宇景观设计工程有限公司,2,0.0007613999993623027,2,0,2
和宇健康科技股份有限公司,6,0.0027791389876352596,0,6,6
未鲲(上海)科技服务有限公司,1,0.0007613999993623027,1,0,1
憨猴科技集团有限公司,3,0.002148647127443603,0,3,3
乌索投资有限公司,3,0.001946826487865814,0,3,3
河南文正电子数据处理有限公司,1,0.0007613999993623027,1,0,1
广西电网有限责任公司,5,0.001966249819862543,0,5,5
成都市顶钻科技有限公司,2,0.0007613999993623027,2,0,2
广州固融信息科技有限公司,1,0.0010850909959146061,0,1,1
西门子工业公司,3,0.0007613999993623027,3,0,3
苏州天鸣信息科技有限公司,2,0.0007613999993623027,2,0,2
广东高航知识产权运营有限公司,1,0.0010850909959146061,0,1,1
华中科技大学,2,0.0007613999993623027,2,0,2
深圳大学,3,0.0010850909959146061,2,1,3
诺基亚通信公司,4,0.0016462071959766637,2,2,4
展讯通信(上海)有限公司,1,0.0009619483516196169,0,1,1
重庆金融资产交易所有限责任公司,2,0.0007613999993623027,2,0,2
广州宾聚科技有限公司,4,0.0021215616281763847,0,4,4
陈龙,1,0.0007613999993623027,1,0,1
浙江清客云网络科技有限公司,1,0.0014087819924669094,0,1,1
上海朗帛通信技术有限公司,1,0.0007613999993623027,1,0,1
