"转让人","受让人","IPC分类号"
"哈尔滨理工大学","深圳市东汇精密机电有限公司","G02B21/24"
"华南理工大学","广东国玉科技有限公司","G05D25/02; A01G9/20; H05B37/02"
"广西科技大学","西安鑫柏泽文化传媒有限公司","G06T7/136; G06T7/149"
"合肥工业大学","上海比英半导体科技有限公司","G06T7/00; G01N21/64"
"四川华拓光通信股份有限公司","四川华拓光通信股份有限公司; 深圳市特发信息股份有限公司","H04L12/26"
"中国地质大学(北京)","北京吉星吉达科技有限公司","G06F9/50"
"山东浪潮华光光电子股份有限公司","山东三晶照明科技有限公司","H01L33/00; H01L33/32; H01L33/36; H01L33/62; H01L25/075"
"斯纳普集团有限公司; 奥伯维尔斯工程有限公司","斯纳普公司; 斯纳普查特有限公司","G06T17/20; G06F3/01; G06F3/0481; G06F3/0484; G06K9/00; G06T7/55"
"青岛海尔智能技术研发有限公司; 哈尔滨工业大学","青岛海尔智能技术研发有限公司; 哈尔滨工业大学; 海尔智家股份有限公司","G06F30/20; F24F13/06"
"黄河勘测规划设计研究院有限公司","黄河勘测规划设计研究院有限公司; 云河(河南)信息科技有限公司","G06Q10/06; G06Q50/06"
"南通大学","南京黄石机床制造有限公司","G06F17/50"
"南京信息工程大学","朗威寰球(北京)科技集团有限公司","G06F16/31; G06F3/0481"
"浙江大学","杭州华望系统科技有限公司","G06F17/50"
"天鸿泰(北京)科技有限公司; 金鸿泰智慧运维(北京)科技有限公司","金鸿泰智慧运维(北京)科技有限公司; 西安咸林能源科技有限公司","G06Q10/04; G06N7/04"
"天津绿动力科技有限公司","北京交创科技有限公司","G06F17/10"
"贵州电网有限责任公司输电运行检修分公司; 贵州电力设计研究院","贵州电网有限责任公司","G06F19/00"
"南京奥灵克物联网科技有限公司","江苏赛融科技股份有限公司","G06F16/9535; G06F16/953; G06F16/28; G06F16/35"
"广东精铟海洋工程股份有限公司","广州精铟海洋技术服务有限公司; 广东精铟海洋工程股份有限公司","G06F17/50"
"深圳普智联科机器人技术有限公司","普智联科(深圳)有限公司","G06K7/14"
"数字资产控股公司","数字资产(瑞士)股份有限公司","G06Q20/06; G06Q20/38; G06Q40/06"
"王彦章","邱爽","G06Q50/20"
"江苏金铁人自动化科技有限公司; 南通热克信息技术科技有限公司; 宝嘉智能科技(南通)有限公司","宝嘉智能科技(南通)有限公司; 南京遁空人工智能技术研发有限公司; 南通热克信息技术科技有限公司","G06K13/08"
"西安电子科技大学","陕西中朗企业管理咨询有限公司","G06F17/22; G06F17/24"
"成都火云网安科技有限公司","成都千牛信息技术有限公司","H04L12/24; H04W84/12"
"西安电子科技大学","西安中科洺光测控技术有限公司","G06T7/00"
"绍兴文理学院元培学院","苏州慕名信息技术有限公司","H04L29/06; H04L12/771; H04L45/60"
"西安科技大学; 西安智财全技术转移中心有限公司","西安智财全技术转移中心有限公司; 北京齿空间生物科技有限公司","G06F17/50"
"北京聚众互动网络科技有限公司","北京科言生物技术有限公司","G06K7/10"
"天津大学","宁波知微瑞驰信息科技有限公司","H04L29/06"
"赵敏","程书怀","G06F17/21"
"北京中联浩科技服务有限公司; 天津科技大学","日照经济技术开发区客商服务有限公司; 北京中联浩科技服务有限公司","H04L9/00"
"南京林业大学","上海形宙数字技术有限公司","G06K9/00; G06K9/62; G06K9/46; B60Q9/00"
"徐亚萍","和宇健康科技股份有限公司","G06F9/445; H04L12/26; H04L29/08; H04M1/725; H04M1/72406"
"杭州云沣科技有限公司","嘉兴市万沣信息技术有限公司","H04L9/08; H04L9/14; H04L29/06; H04L9/32"
"曹屹; 苏芮","北京我易家网络科技发展有限公司","G06T15/20; G06T15/50"
"北京航空航天大学","北京航天华科技有限公司","G06T5/00; G06T5/50"
"南京利丰知识产权代理事务所(特殊普通合伙)苏州分所; 南京信息工程大学","河源数据港科技有限公司; 南京利丰知识产权代理事务所(特殊普通合伙)苏州分所","G06F13/20"
"南通大学; 李俊亮","李俊亮; 深圳市豪斯莱科技有限公司","H04L9/08; H04L9/00; H04L9/30"
"太原罗克佳华工业有限公司; 佳华智慧(太原)科技有限公司","佳华智慧(太原)科技有限公司; 太原罗克佳华工业有限公司","H04L12/26; H04L29/06; G06F11/36"
"南方电网科学研究院有限责任公司; 中国南方电网有限责任公司电网技术研究中心; 华南理工大学","南方电网科学研究院有限责任公司; 华南理工大学","G06F17/50; G06T11/20"
"内部科技有限责任公司","欧特克公司","G06T17/10; G06T17/20"
"镇江福科鑫电子科技有限公司","南京加利博电子科技有限公司","G06K7/10; G06F3/16"
"深圳市创维群欣安防科技股份有限公司; 创维光电科技(深圳)有限公司","深圳创维数字技术有限公司; 创维光电科技(深圳)有限公司","G06F3/042"
"西安电子科技大学","陕西慧眸一方智能科技有限公司","G06K9/00"
"南方电网科学研究院有限责任公司; 华南理工大学; 中国南方电网有限责任公司电网技术研究中心","南方电网科学研究院有限责任公司; 华南理工大学","G06F17/50"
"上海交通大学","上海蓝丰信息科技有限公司","G06F16/2458; G06Q50/00"
"深圳大数点科技有限公司; 刘付剑波","刘付剑波; 深圳市致远优学教育科技有限公司","G06F16/27; G06F9/54"
"刘付剑波; 深圳大数点科技有限公司","深圳市致远优学教育科技有限公司; 刘付剑波","H04L12/24; H04L29/08"
"南方电网科学研究院有限责任公司; 中国南方电网有限责任公司电网技术研究中心; 清华大学","南方电网科学研究院有限责任公司; 清华大学","G06F17/50"
"上海大学","启东赢维数据信息科技有限公司","G01N33/00; G01N21/71; G06N3/08"
"卢涛","深圳市君康源智能科技有限公司","G06F3/01; G06K9/00; A44C5/00"
"刘付剑波; 深圳大数点科技有限公司","丁超; 刘付剑波","H04L29/08"
"伊帕莱夫股份公司; 马丁·高德纳; 蒂博尔·布罗姆豪尔; 卡尔·埃里克·斯塔尔","伊帕莱夫股份公司; 蒂博尔·布罗姆豪尔; 卡尔·埃里克·斯塔尔","H04L65/1069; H04M7/00; H04L65/1046; H04L65/65"
"刘付剑波; 深圳大数点科技有限公司","四川久远银海软件股份有限公司; 刘付剑波","H04L29/08; H04L29/06"
"中国南方电网有限责任公司电网技术研究中心; 南方电网科学研究院有限责任公司; 中国南方电网有限责任公司; 武汉中元华电科技股份有限公司; 广西电网有限责任公司电力科学研究院; 贵州电网有限责任公司电力科学研究院","南方电网科学研究院有限责任公司; 中国南方电网有限责任公司; 武汉中元华电科技股份有限公司; 广西电网有限责任公司电力科学研究院; 贵州电网有限责任公司电力科学研究院","H04L12/26; H04L7/00"
"长安大学","智联云大数据科技南京有限公司","G06T5/00; G06T5/50"
"哈尔滨工业大学; 哈尔滨工业大学资产经营有限公司","哈尔滨工业大学资产经营有限公司; 哈尔滨工大卫星技术有限公司","G06K9/00"
"周肇炎","和宇健康科技股份有限公司","G06F9/445; G06F9/48"
"深圳市蜂联科技有限公司; 成都全景智能科技有限公司","成都全景智能科技有限公司; 深圳市蜂联科技有限公司","H04L12/741; H04L29/12; H04L45/74"
"西北工业大学","云尧科技(浙江)有限公司","G06F16/28"
"南京工程学院","南京弘正建设发展有限公司","G06F17/50"
"西安建筑科技大学","西安建大静态交通研究院有限公司","G06F17/50"
"深圳市希顿科技有限公司","天浪创新科技(深圳)有限公司","G06K17/00"
"黄忠青","广东胜捷消防科技有限公司","H04L29/08; G08B21/18"
"河北工程大学","北京中景世纪科技有限公司","G06K9/00; G06K9/40; G06T7/10; G06K9/62"
"苏州大学","苏州容润通信技术有限公司","H04L25/02; H04W84/18"
"北京航空航天大学","北京航天驭星科技有限公司","G06F17/50"
"北京交通大学; 北京银企融合技术开发有限公司","北京银企融合技术开发有限公司; 北京结慧科技有限公司","G06F16/28; G06F16/22; G06F16/24"
"中山大学; 广州中大南沙科技创新产业园有限公司; 广州智海纵横信息科技有限公司","广州展翼信息科技有限公司","G06F16/9535"
"史方","高前文","G06T7/11; G06T7/155"
"河海大学","优境(苏州)数字科技有限公司","G06T7/00; G06T9/00"
"范杭","广州华视光学科技有限公司","G06F3/01; G06F3/0354"
"新乡医学院","江苏护理职业学院","G06F17/50"
"清华大学","北京清源智慧科技有限公司","G06Q10/06; G06Q50/06"
"西安交通大学","苏州协同创新智能制造装备有限公司","G06T9/00"
"南京信息工程大学","甲骨易(北京)语言科技股份有限公司","G06F16/21; G06F16/22; G06F16/2458"
"华为技术有限公司; 苏州鱼得水电气科技有限公司","苏州鱼得水电气科技有限公司; 江苏中控普惠信息科技有限公司","H04L29/08; H04L29/06; H04L12/805; H04L47/36"
"宁波至高点工业设计有限公司","南京天洑软件有限公司","G06F30/17; G06T17/00"
"安徽省云力信息技术有限公司","安徽国联信息科技有限公司","G06K9/00"
"吉首大学","安徽轩纬科技有限公司","G06F21/56; G06N3/00; G06N3/08"
"南昌大学","江西中科九峰智慧医疗科技有限公司","G06T5/00"
"厦门大学","厦门水贝自动化科技有限公司","G06F3/01; G06F9/4401"
"深圳市樊溪电子有限公司","度测(上海)科技服务中心","G06T5/00"
"温州大学","乾丰泵业有限公司","H04L29/12"
"湘潭大学","大尧信息科技(湖南)有限公司","H04L27/26; H04W56/00"
"长春光华微电子设备工程中心有限公司","中科长光精拓智能装备(苏州)有限公司","G06T7/00; G06T7/13"
"安徽大学; 谭树东; 杨辉; 彭会锟; 高园园; 郝雪娜; 殷志祥; 杨传勇; 胡海; 袁理侃","安徽美图信息科技有限公司","G06T11/20"
"深圳天涧智能设备有限公司","佳维思科技(广东)有限公司","G06K17/00; C02F1/00"
"中国南方电网有限责任公司电网技术研究中心; 南方电网科学研究院有限责任公司; 工业和信息化部电子第五研究所","南方电网科学研究院有限责任公司; 中国电子产品可靠性与环境试验研究所((工业和信息化部电子第五研究所)(中国赛宝实验室))","G06F8/53"
"浙江工业大学","浙江禹贡信息科技有限公司","G06T7/246; G01P5/00"
"哈尔滨工业大学; 黑龙江省工研院资产经营管理有限公司; 黑龙江省工业技术研究院","黑龙江省工业技术研究院; 天岸马科技(黑龙江)有限公司; 黑龙江省工研院资产经营管理有限公司","G06T5/00"
"山东普奥智能软件科技有限公司","普奥智能设备(宜昌)有限公司","H04L12/24; H04L12/66; H04L29/08"
"广东南海启明光大科技有限公司","佛山市瑞纳新材科技有限公司","G06F3/041; G06F3/044"
"上海资誉网络科技有限公司","鉴真防务技术(上海)有限公司","G06K17/00; G06Q30/00"
"深圳市太赫兹科技创新研究院; 深圳市无牙太赫兹科技有限公司","深圳市重投华讯太赫兹科技有限公司","G06T7/00; G06T7/11; G06T7/136"
"微软技术许可有限责任公司","诺思罗普格鲁曼技术公司","G06F7/508"
"南京航空航天大学","南京展翅鸿信息科技有限公司","H04L5/00; H04W72/04"
"苏宁云商集团股份有限公司","深圳市云网万店电子商务有限公司","G06Q10/08; G06Q30/06; G06Q50/28"
"南京乐运乐科技有限公司","王刚","G06F17/30"
"深圳天珑无线科技有限公司","四川苏格通讯技术有限公司; 深圳天珑无线科技有限公司","G06K9/00; G06F21/32; G06F3/041"
"深圳爱易瑞科技有限公司","南京硅基智能科技有限公司","G06N3/00"
"哈尔滨工业大学; 黑龙江省工业技术研究院","黑龙江省工业技术研究院; 黑龙江鉴成医学检验实验室有限公司","G06F19/18; G06K9/62"
"南京利丰知识产权代理事务所(特殊普通合伙)苏州分所; 南京邮电大学","南通数港信息科技有限公司; 南京利丰知识产权代理事务所(特殊普通合伙)苏州分所","H04L29/08; H04L12/24"
"成都科曦科技有限公司","临沂高新人才教育发展集团有限公司","A61L2/10; G06K7/10"
"江南大学; 刘姣姣","刘姣姣; 上海玖莳智能科技有限公司","G06T3/40"
"哈尔滨工业大学; 黑龙江省工研院资产经营管理有限公司; 黑龙江省工业技术研究院","黑龙江省工业技术研究院; 虚拟现实数字技术研究院(哈尔滨)有限公司; 黑龙江省工研院资产经营管理有限公司","G06F9/455"
"宁波市由乐讯通讯科技有限公司","成都蓝色兄弟网络科技有限公司","H04L29/06; G06F21/32"
"浙江工商大学","广州华栈天城科技有限公司","G06T7/50"
"明阳智慧能源集团股份公司","明阳智慧能源集团北京科技有限公司","G06F17/50"
"北京信息科技大学; 张伟; 徐丰","郑州美林通科技股份有限公司","G06F16/2458; G06F16/182"
"合肥讯飞数码科技有限公司","武汉科讯智安科技有限公司","G06Q50/00"
"潍坊学院","山东中科普锐检测技术有限公司","G06F17/50; G06K9/00; G01M13/04"
"厦门美图移动科技有限公司; 厦门游氧网络科技有限公司","厦门游氧网络科技有限公司; 厦门黑谷网络科技股份有限公司","G06F11/36"
"宁波市由乐讯通讯科技有限公司; 杜丽红","杜丽红; 嘉兴琥珀科技有限公司","G06F17/28; G06F16/332"
"天津大学","高唐融知融智科技服务有限公司","G06K9/62"
"广州华多网络科技有限公司","广州聚汇信息技术有限公司","H04L12/58; G06F16/955"
"中国南方电网有限责任公司电网技术研究中心; 南方电网科学研究院有限责任公司; 中国电子科技集团第七研究所; 广西电网有限责任公司电力科学研究院; 广西电网有限责任公司南宁供电局","南方电网科学研究院有限责任公司; 中国电子科技集团第七研究所; 广西电网有限责任公司电力科学研究院; 广西电网有限责任公司南宁供电局","H04L9/06"
"童晓冲","中国人民解放军战略支援部队信息工程大学","G06F17/22; G06F16/22; G06F16/2455; G06F16/13"
"维沃移动通信有限公司","西安维沃软件技术有限公司","G06F21/62; G06F16/54"
"电子科技大学","浙江波誓盾科技有限公司","G06F17/16; G06F17/50"
"苏宁云商集团股份有限公司; 江苏苏宁云计算有限公司","江苏苏宁云计算有限公司; 深圳市云网万店科技有限公司","G06F16/55"
"北京孔方同鑫科技有限公司","郝琦","G06Q40/02; G07D11/24"
"北京忆恒创源科技股份有限公司","上海曼卜信息科技有限公司","G06F12/06"
"驱动器扩展股份有限公司","推特股份有限公司","G06F9/46"
"江苏大学; 南通宁竞信息科技有限公司","南通宁竞信息科技有限公司; 南通中成彩印包装有限公司","G06F5/06"
"张宁","广州民航职业技术学院","G06K9/00; G06K9/62; G06T7/50"
"北京航空航天大学; 北京睦邦仁科技有限公司","北京睦邦仁科技有限公司; 扬州市瑞图新材料有限公司","G06F17/50"
"合肥工业大学","安徽友荣胜通信科技有限公司","G06T7/579; G06T7/13; G06T7/11; G06T7/207; G06T7/80; G06T5/00; G06K9/00; G06K9/62"
"BEFS株式会社","(株)凯希思","G06K9/00; G06Q20/40; G06V30/144"
"广州市增城区城乡规划与测绘地理信息研究院","城乡院(广州)有限公司","G06F16/78; G07C5/08"
"广西外国语学院","广西大学行健文理学院","G06Q50/28; G06Q10/08"
"鲁东大学","山东道万电气有限公司","G06T1/00"
"青岛海尔洗衣机有限公司","青岛胶南海尔洗衣机有限公司; 海尔智家股份有限公司","H04L29/08; D06F33/47; D06F39/08; D06F105/02; D06F105/58; D06F103/18"
"王亚帝","锦州医科大学","G06F19/20"
"中国南方电网有限责任公司电网技术研究中心; 南方电网科学研究院有限责任公司; 广州海晟科技有限公司","南方电网科学研究院有限责任公司; 广州海晟科技有限公司","H04L12/26"
"乐相科技有限公司","上海乐相信息科技有限公司","G06F3/0481; G06F3/0484; G06F3/0488; G06F3/01"
"张博","山东莱微软件科技有限公司","G06F8/20; G06F16/84"
"陕西科技大学","深圳市铭濠科技有限公司","G06F13/40; G06F13/42; G06F11/07"
"深圳红酒世界电商股份有限公司; 青岛海尔特种电冰柜有限公司","青岛博芬智能科技股份有限公司; 深圳红酒世界电商股份有限公司","G06K7/00; F25D23/12"
"南京信息工程大学","美辛软件科技南京有限公司","G06K9/00; G06N3/02"
"淮南师范学院","中咨高技术咨询中心有限公司","G06F21/60; G06F21/62; G06Q40/00; H04L29/06"
"西安交通大学","深圳协同创新高科技发展有限公司","G06F17/50"
"苏群","深圳市大树叶科技开发合伙企业(有限合伙); 深圳市数思合科技开发合伙企业(有限合伙); 俞文锦","G06F16/951; G06F16/953; G06F16/9535; G06F16/36; G06F16/25; G06F16/24"
"容毅","山东程序元软件有限公司","G06F8/36"
"中南大学","湖南特思科智能科技有限公司","H04L9/00"
"深圳国泰安教育技术有限公司","深圳国腾安职业教育科技有限公司","H04L29/08"
"北京智中能源互联网研究院有限公司; 中国南方电网有限责任公司电网技术研究中心; 清华大学","北京智中能源互联网研究院有限公司; 南方电网科学研究院有限责任公司; 清华大学","G06Q50/06"
"广东网域科技有限公司","广州网域科技有限公司","H04L12/04; H05K5/00; H05K7/20; H05K7/14; H04L12/931"
"成都千牛企业管理有限公司","成都千牛信息技术有限公司","H04L29/08"
"李淑兰","南通优元美术图案设计有限公司","G06F3/01; A44C5/00; G08C17/00; A61B5/024"
"深圳市瑞耐斯技术有限公司","河南领存智能制造有限公司","G06F12/06"
"重庆市炙热科技发展有限公司","展旺塑胶(重庆)有限公司","G06F3/02"
"上海银赛计算机科技有限公司","广东博众证券投资咨询有限公司","G06F11/34"
"中南大学","宁波澎湃轨道科技有限公司","G06F17/50"
"深圳市量子视觉科技有限公司","深圳市塔洛斯创新有限责任公司","G06T3/00; G06T3/40"
"芜湖市振华戎科智能科技有限公司","贵州灵劲科技有限公司","G06K19/077; E05B37/20"
"芜湖市振华戎科智能科技有限公司","南通誉力智能装备有限公司","G06K17/00"
"山东工商学院","山东中科信息技术服务有限公司","H04L12/24; H04L12/26; H04L29/08; G06F16/24"
"重庆理工大学","重庆铁力士科技有限公司","G06F17/50"
"上海交通大学","上海智芝全智能科技有限公司","G06F21/32; G06F21/31"
"上海交通大学","永辉云金科技有限公司","G06F21/32"
"南京邮电大学","苏州伟易佳电子有限公司","G06T7/11"
"陈鸣","南京华鹞信息科技有限公司","H04L12/26; G06F9/455"
"国网山东省电力公司; 国网智能科技股份有限公司; 国家电网有限公司","国网山东省电力公司; 山东鲁能软件技术有限公司智能电气分公司; 国家电网有限公司","G06Q10/06; G06Q50/06; H04L29/08"
"深圳前海风车科技服务有限公司","夏冬明","H04L29/06"
"时光互联(北京)技术有限公司","光速视觉(北京)科技有限公司","G06F16/34; G06F16/33"
"南京工程学院","惠州建磊科技有限公司","G06K9/00; G06K9/62; G06N3/08"
"中国科学院计算机网络信息中心","北京中科北龙科技有限责任公司","G06F16/26"
"东莞理工学院","中智项目外包服务有限公司","G06K7/10"
"东莞理工学院","国网湖北省电力有限公司黄石供电公司; 北京博研中能科技有限公司","G06K7/10"
"深圳光启合众科技有限公司","贵州由你想信息科技有限公司","G06T7/246; G06T7/13"
"湖南化身科技有限公司","湖南化身科技有限公司; 中国人民解放军陆军工程大学","G06T17/00"
"尹子栋; 李旗","尹子栋","H04L29/08; H04L29/06; H04W4/14"
"江苏大学","江苏联盟信息工程有限公司","H04L5/00; H04W52/24; H04W52/34; H04W28/26; H04W52/38"
"广州市百果园网络科技有限公司","百果园技术(新加坡)有限公司","H04L1/00; H04L12/801"
"范思宇; 深圳市嗨马支付信息有限公司","南京市碧幄信息技术有限公司; 范思宇","G06Q20/38; G06Q20/32; G06Q20/34; G06Q20/40"
"一块互动(北京)科技有限公司","北京安信智通科技有限公司","G06K9/00"
"江苏汇联智通通信科技有限公司; 盐城师范学院","江苏筚路恒心智能科技有限公司; 江苏汇联智通通信科技有限公司","G06F17/16"
"芜湖市振华戎科智能科技有限公司","杜丽红","G06K19/077"
"皮永才","成都零壹矩阵科技有限公司","G06K19/06"
"北京花甲科技有限公司","顶象科技有限公司","G06F21/60"
"北京花甲科技有限公司","北京顶象技术有限公司","G06F8/20; G06F8/30; G06F21/52"
"北京安控科技股份有限公司; 陕西安控科技有限公司","陕西安控科技有限公司; 北京安控油气技术有限责任公司","H04L1/00; H04L29/06; H04W84/12"
"云南电网有限责任公司普洱供电局; 西安南风云电力科技有限公司","云南电网有限责任公司普洱供电局","G06Q50/06"
"芜湖悠派护理用品科技股份有限公司","芜湖福派卫生用品有限公司","B65G21/20; B65G15/58"
"江西指芯智能科技有限公司","深圳指芯物联技术有限公司","G06F21/32; G06F21/44; G06F21/78"
"华为技术有限公司; 广州方维信息科技有限公司","广州方维信息科技有限公司; 上海朋邦实业有限公司","H04L1/00"
"湖州优研知识产权服务有限公司; 安徽大学","滨州市科创孵化器有限公司; 湖州优研知识产权服务有限公司","G06F17/50"
"江苏高网信息科技有限公司; 嘉兴智旭信息科技有限公司","嘉兴智旭信息科技有限公司; 福州十方网络科技有限公司","H04L9/06; H04L9/08"
"苏州倍声声学技术有限公司","深圳市长盈精密技术股份有限公司","G06F1/16"
"张科; 文武","成都经纬达空间信息技术有限公司","G06F17/50"
"孟玲","杭州勤兴电控设备有限责任公司","G06Q50/06"
"湖南达人制衣有限公司","湖南莎丽袜业股份有限公司","G06Q30/06; G06Q50/04"
"西安小光子网络科技有限公司","上海光视融合智能科技有限公司","H04L29/08; G06K7/14"
"成都数默科技有限公司","成都科来网络技术有限公司","G06Q10/04; G06T11/20"
"同观科技(深圳)有限公司","高前文","G06K9/62"
"朱于芝","济南幼儿师范高等专科学校","G06F3/0346; G09B17/02; H04M1/725"
"许昌学院","苏州市保慧智能科技有限公司","G06F21/62"
"王杰","广州大学","G06F3/01"
"邓意麒","湖南苏科智能科技有限公司","G06Q30/06"
"路安有限责任公司","路安股份有限公司","G06F12/14; G06F12/16; G06F9/50"
"四川云农高地智能科技有限公司","博繁软件(广州)有限公司","H04L29/08; H04L12/24"
"中国石油集团川庆钻探工程有限公司长庆井下技术作业公司","中国石油天然气集团有限公司; 中国石油集团川庆钻探工程有限公司","G06F17/50"
"武汉大学; 南京北斗创新应用科技研究院有限公司","南京北斗创新应用科技研究院有限公司; 南京孚光信息科技有限公司","G06K9/62"
"镇江乐游网络科技有限公司","镇江纵陌阡横信息科技有限公司","G06Q30/02"
"庆铃汽车(集团)有限公司","庆铃汽车(集团)有限公司; 重庆庆铃专用汽车有限公司","G06F16/245; G06Q50/04"
"同观科技(深圳)有限公司; 苏州深视威智能科技有限公司","苏州深视威智能科技有限公司; 长信智控网络科技有限公司","G06K9/62"
"江西联思触控技术有限公司","湖北联新显示科技有限公司","G06F3/044; G06F3/041"
"醇钱科技发展(北京)有限公司","山东盛润汽车有限公司","G06Q40/04"
"纪慧娟","广东井泰科技有限公司","G06K7/10; G06Q30/00"
"亮星科技有限公司","星贝瑞有限公司","H04L29/08"
"深圳震有科技股份有限公司","深圳市震有软件科技有限公司","G06F11/14"
"深圳光启合众科技有限公司","深圳光启空间技术有限公司","G06F3/0488"
"北京邮电大学","奇安信科技集团股份有限公司","H04L29/06"
"京东方科技集团股份有限公司; 北京京东方多媒体科技有限公司","京东方科技集团股份有限公司; 京东方智慧物联科技有限公司","G06F3/045; G06F3/041"
"北京创联智软科技有限公司; 北京航空航天大学","云翼超算(北京)软件科技有限公司; 北京创联智软科技有限公司","G06F17/50"
"河海大学","南京工程学院; 河海大学","G06T7/262; G06T7/30; G06T7/11; G06T7/136; G06T5/00"
"安徽工业大学; 马鞍山市安工大工业技术研究院有限公司","马鞍山市安工大工业技术研究院有限公司; 安徽工大信息技术有限公司","G06T7/246; G06T7/12; H04N7/18"
"北京佰才邦技术股份有限公司","合肥佰才邦通信技术有限公司","H04L29/08; H04L29/06"
"天津工业大学; 天津格润赛福科技有限公司","四川斯菲提克科学仪器有限公司","G06N3/08"
"南通大学; 义乌市鼎莎针织有限公司","义乌市鼎莎针织有限公司; 浙江金果知识产权有限公司","G06K9/62"
"山东大学","普联软件股份有限公司","G06F21/62"
"杭州电子科技大学","浙江高速信息工程技术有限公司","G06K9/00; G06K9/46"
"北京工业大学; 北京中联浩科技服务有限公司; 南通誉力智能装备有限公司","北京中联浩科技服务有限公司; 南通誉力智能装备有限公司; 山东万事达专用汽车制造有限公司","G06K9/00; G06K9/20; G06K9/62; G06T7/11; G06T7/215; G08G1/01; G06T7/136"
"北京工业大学; 芽米科技(广州)有限公司","芽米科技(广州)有限公司; 金特尔科技有限公司","G06F40/253; G16H10/60; G06N3/08"
"尼科创业控股有限公司","尼科创业贸易有限公司","H04L29/08; A24F47/00; A61M15/00; A61M15/06; H04W4/00; H04W4/80; A24F40/50; A24F40/60; A24F40/65"
"云南电网有限责任公司电力科学研究院; 天津航天中为数据系统科技有限公司; 南方电网科学研究院有限责任公司","云南电网有限责任公司电力科学研究院","G06T7/00; G06T7/12"
"三峡大学","蒙阴金华机械有限公司","G07D3/10; G07D3/12"
"南京大学(苏州)高新技术研究院","南京南力科技有限公司","G06F17/50"
"小菜儿成都信息科技有限公司; 重庆大学","杭州沃维医疗科技有限公司","G06K9/00"
"宁波大学; 杭州乐知新创人工智能科技服务有限公司","杭州乐知新创人工智能科技服务有限公司; 宁波阶梯教育科技有限公司","G06F19/00"
"中国科学院计算技术研究所","重庆随手学信息科技有限公司","G06F21/60; G06F21/62"
"中山大学; 佛山市中山大学研究院","上海您惦半导体科技有限公司","C23C16/52; C23C16/40"
"维沃移动通信有限公司","艾酷软件技术(上海)有限公司","G06F16/51"
"深圳市优象计算技术有限公司","深圳市龙芯威半导体科技有限公司","G06F3/01; G06K9/00; G06K9/46; G06K9/62"
"湛江市霞山区新软佳科技有限公司","博智网络科技(湛江市)有限公司","G06F8/10; G06F8/20; G06F8/30"
"国网山东省电力公司电力科学研究院; 山东鲁能软件技术有限公司; 国家电网有限公司","国网山东省电力公司营销服务中心(计量中心); 国网山东省电力公司电力科学研究院; 山东鲁能软件技术有限公司; 国家电网有限公司","G06Q30/02; G06Q50/06; G06K9/62"
"北京航空航天大学; 北京堂仁翔科技有限公司","北京堂仁翔科技有限公司; 山东美欣医疗科技有限公司","G06F17/50"
"南昌欧菲显示科技有限公司","安徽精卓光显技术有限责任公司","G06F3/041"
"湖南穗富眼电子科技有限公司; 湖南中科助英智能科技研究院有限公司","湖南中科助英智能科技研究院有限公司; 湖南穗富眼电子科技有限公司","G06K9/62"
"宁波力芯科信息科技有限公司","深圳市左木科技有限公司","B43K29/00; G06K9/20"
"华东师范大学; 云南北斗农业发展有限公司","云南北斗农业发展有限公司; 华东师范大学","G06F16/51; G06T3/00"
"黑龙江省工业技术研究院; 哈尔滨工业大学","哈尔滨鹰眼科技有限公司; 黑龙江省工业技术研究院","G06F17/50"
"西门子股份公司","西门子医疗有限公司","G06T7/00; G06T7/55; G06T7/62"
"云南北斗农业发展有限公司; 华东师范大学","华东师范大学; 云南北斗农业发展有限公司","G06F16/9535; G06F16/9537; G06F17/27"
"北海益生源农贸有限责任公司","广西华泰国际货运代理有限公司","G08B21/06; A61B5/0476"
"南方电网科学研究院有限责任公司; 中国南方电网有限责任公司电网技术研究中心; 国电南瑞科技股份有限公司","南方电网科学研究院有限责任公司; 国电南瑞科技股份有限公司","G06F30/20; G06Q50/06"
"希尔戴克斯网络股份有限公司","防特网公司","H04L29/08; H04L29/06"
"南通大学技术转移中心; 南通大学","南通德泰信息科技有限公司; 南通大学技术转移中心","G06T7/00; G06T7/11"
"北京航空航天大学","沈阳德创金属材料有限公司","G06F30/23; G06F30/17"
"深圳光启合众科技有限公司","河北亿超机械制造股份有限公司","B25J9/16"
"北京德普信科技有限公司","山东微创软件有限公司","G06F12/14; G06F21/57; G06F11/14"
"重庆科技学院","重庆炬心智能科技研究院有限公司","G06Q10/04; G06Q50/02"
"河海大学常州校区","江苏沃尔森电子科技有限公司","G06K9/46"
"天津工业大学","四川斯菲提克科学仪器有限公司","G06N20/00; G01N21/3563"
"浙江三花汽车零部件有限公司","宁波福尔达智能科技有限公司","G06F1/18; G07C5/00"
"王永妍","南通北外滩建设工程有限公司","G06F1/20"
"江西欧迈斯微电子有限公司; 欧菲光集团股份有限公司","江西欧迈斯微电子有限公司","G06F3/0488; G06F21/32"
"烟台科力博睿地震防护科技有限公司","烟台科力博睿地震防护科技有限公司; 中国科学院力学研究所; 北京中科力昭科技有限公司","G06F17/50"
"上海朗帛通信技术有限公司","极光技术咨询有限责任公司","H04L1/00; H04L27/26; H04W16/28"
"华中科技大学","武汉格蓝若智能技术有限公司","G06F17/50; G01R35/02"
"五邑大学; 翟懿奎","未来航空科技(江门)有限公司","G06K9/66; G06K9/00"
