"转让人","受让人","申请人地区","受让人地址","转让人省份","受让人省份"
"深圳市宇恒互动科技开发有限公司","贤珹(上海)信息科技有限公司","广东","200120 上海市浦东新区中国(上海)自由贸易试验区临港新片区环湖西二路888号C楼","广东","20"
"北京交通大学; 北京交大资产经营有限公司","北京交大资产经营有限公司; 北京交控科技有限公司","北京","100044 北京市海淀区高梁桥斜街44号科教楼806室; 100070 北京市丰台区科技园海鹰路6号院北京总部国际2、3号楼","北京","10"
"宾得株式会社","HOYA株式会社","日本","日本东京都","日本","日本"
"ASML蒙片工具有限公司","ASML荷兰有限公司","荷兰","荷兰维德霍温","荷兰","荷兰"
"北京智慧大王科技有限公司","上海锦咏数据科技有限公司","上海","201111 上海市闵行区紫旭路500号第1幢3层312室","上海","20"
"中科边缘智慧信息科技(苏州)有限公司","合肥骅芯技术有限公司","江苏","230000 安徽省合肥市高新区望江西路900号中安创谷科技园一期A4栋420室","江苏","23"
"李叶","上海极链网络科技有限公司","上海","202163 上海市崇明区中兴镇汲浜公路39号21号楼1103室","上海","20"
"长春长光奥闰光电科技有限公司","吉林大学","吉林","130000 吉林省长春市朝阳区前进大街2699号","吉林","13"
"深圳一智信息技术有限公司","深圳市布谷鸟科技有限公司","广东","518000 广东省深圳市南山区南头街道南头关口二路智恒战略性新兴产业园8栋501","广东","51"
"北京紫晶立方科技有限公司","南京清研三维科技有限公司; 北京紫晶立方科技有限公司","天津","211806 江苏省南京市浦口区桥林街道步月路9号-17","天津","21"
"何羽强","湖北省招标股份有限公司","湖北","430000 湖北省武汉市武昌区中北路108号兴业银行大厦五层","湖北","43"
"英业达股份有限公司","李东","台湾","河南省安阳市殷都区老安林路26号院23号楼3号","台湾","河南"
"深圳拳石科技发展有限公司","福建省拳石科技发展有限公司","福建","350000 福建省福州市鼓楼区工业路611号福建高新技术创业园1号楼6层北6室","福建","35"
"杨益","广西电网有限责任公司","广西","530000 广西壮族自治区南宁市兴宁区民主路6号","广西","53"
"四川华立德科技有限公司","深圳市华拓科技有限公司","广东","518000 广东省深圳市龙华区龙华街道清湖社区清湖村宝能科技园9栋5层A座AB单元","广东","51"
"水利部信息中心(水利部水文水资源监测预报中心)","水利部信息中心(水利部水文水资源监测预报中心); 河海大学","北京","100053 北京市西城区宣武区白广路二条1号","北京","10"
"桑特拉系统有限公司; 桑特拉系统有限责任公司","桑特拉系统有限责任公司; 根班德公司","美国","美国德克萨斯州","美国","美国"
"深圳市振华微电子有限公司","中国振华(集团)科技股份有限公司; 深圳市振华微电子有限公司","广东","518057 广东省深圳市南山区高新技术工业村W1-B二层","广东","51"
"无锡触角科技有限公司","北京触角科技有限公司","江苏","100000 北京市海淀区花园东路30号花园饭店7202室","江苏","10"
"重庆市勘测院","重庆市测绘科学技术研究院","重庆","401120 重庆市渝北区大竹林青竹东路6号","重庆","40"
"兰州大学","兰州大学; 西南应用磁学研究所(中国电子科技集团公司第九研究所)","甘肃","730000 甘肃省兰州市城关区天水南路222号","甘肃","73"
"陈丹丹","中技安全科技有限公司","宁夏","750000 宁夏回族自治区银川市金凤区阅海湾商务区团结路2号CBD金融中心12楼","宁夏","75"
"索尼互动娱乐股份有限公司","索尼互动娱乐有限责任公司","日本","美国加利福尼亚州","日本","美国"
"广东高航知识产权运营有限公司; 李甫文","广东高航知识产权运营有限公司; 威马汽车科技集团有限公司","福建","201799 上海市青浦区崧泽大道333国家会展中心C栋5层; 510640 广东省广州市天河区五山路371号之一主楼2414-2416单元","福建","20"
