"转让人","受让人","IPC分类号"
"全球能源投资有限公司","吉尔德标准服务有限公司","G06Q40/00; G06T1/00"
"莱贝尔沃克斯有限责任公司","沃克瑟知识产权有限责任公司","H04L29/06; H04L12/58"
"用友软件股份有限公司","用友汽车信息科技(上海)有限公司","G06F17/30"
"南方电网技术研究中心","南方电网科学研究院有限责任公司","G06F17/50"
"湖州帷幄知识产权运营有限公司; 浙江远特新材料有限公司; 上海斐讯数据通信技术有限公司; 杭州吉吉知识产权运营有限公司","上海玮奕网络科技有限公司; 杭州吉吉知识产权运营有限公司; 浙江远特新材料有限公司; 湖州帷幄知识产权运营有限公司","H04L29/06"
"江苏科技大学","镇江坤眼信息科技有限公司","G06K9/00; G06K9/62; G06T7/00; G06F21/32"
"南昌欧菲光科技有限公司; 南昌欧菲光显示技术有限公司; 深圳欧菲光科技股份有限公司; 苏州欧菲光科技有限公司","安徽精卓光显技术有限责任公司; 南昌欧菲光科技有限公司","G06F3/041; G02B5/20; G02F1/1333; G02F1/1335"
"广州中国科学院软件应用技术研究所","广州中科易德科技有限公司","G06Q30/00"
"图兹公司","斯特兹有限责任公司","H04N21/435; H04N21/8549; H04N21/478; G06N20/00"
"深圳市创为安防有限公司; 深圳市拓革科技有限公司","深圳市拓革科技有限公司; 深圳市慧芯智能有限公司","G06F30/398"
"努比亚技术有限公司","南京锦云智开软件有限公司","H04L12/58"
"广元量知汇科技有限公司","广州阳光耐特电子有限公司","G06F16/2458; G06F16/25; G06Q10/06; G06Q50/26"
"中山大学","广东经纬天地科技有限公司","G06F16/33"
"金辉文","深圳市中选科技有限公司","G06K7/10; G06K19/06"
"宁波众合瑞通智能科技有限公司","浙江轩毅信息技术有限公司","G06K17/00; G07C9/22; G07C9/27; G06Q10/08; H04L29/08"
"深圳市华讯方舟卫星产业科技有限公司; 华讯方舟科技有限公司","深圳市华讯方舟光电技术有限公司; 深圳市华讯方舟卫星产业科技有限公司","H04L12/807; H04L1/18; H04L1/16; H04L29/06; H04L47/27"
"弗莱克斯电子有限责任公司; Z124; 青岛海信国际营销股份有限公司; 海视信息技术有限公司","Z124; 海视信息技术有限公司; 青岛海信电器股份有限公司; 青岛海信国际营销股份有限公司","G06F17/30"
"北京合众达电子技术有限责任公司","北京艾睿合众科技有限公司","H04L29/06"
"株洲市桑葚信息技术有限公司","湖南锘达科技有限公司","G06F1/20; B01D46/10"
"腾讯科技(深圳)有限公司; 广州酷狗计算机科技有限公司","广州酷狗计算机科技有限公司; 成都酷狗创业孵化器管理有限公司","H04L29/12"
"西安福安创意咨询有限责任公司","西安银嘉工程设计有限公司","G06F3/0482; G06F3/0354"
"北京美琦华悦通讯科技有限公司","北京赛特斯信息科技股份有限公司","G06F9/46"
"深圳市中雅德科技有限公司","鄂尔多斯市科轩信息科技有限公司","G06F1/18; B08B17/04"
"深圳市融智联科技有限公司; 广东天波教育科技有限公司","广东天波教育科技有限公司; 广东校乐园商业投资有限公司","G06F8/30; G06F8/38"
"穗保(广州)科技有限公司","国金众联(北京)人力资源服务有限公司","G06F21/62; G06F21/60; G06F21/31; G06F16/176"
"智慧城市系统服务(中国)有限公司; 中智科创机器人有限公司; 深圳中智科创机器人有限公司","深圳市中智科创机器人有限公司; 深圳中智科创机器人有限公司; 深圳中智卫安机器人技术有限公司","G06K9/00; G06K9/66"
"蓝迟高; 杭州皓倡科技有限公司","杭州皓倡科技有限公司; 李石凡","G06F1/18; G08B21/24"
"张著岳","南通北城科技创业管理有限公司","G06T5/50; G06T11/00"
"广州市烨兴融集团有限公司","深圳市理德好数据科技有限公司","G06Q10/10; G06F16/25; G06F9/50"
"国家电网公司; 浙江大学","国家电网公司; 国网北京经济技术研究院; 国网河南省电力公司; 浙江大学","G06F17/50"
"安徽百全度学教育科技有限公司","安徽艾特赛思智能科技有限公司","G09B5/14; G06Q50/20"
"深圳市华阅文化传媒有限公司","深圳市无限进制科技有限公司","H04L12/58; G06Q50/00"
"知识产权之桥一号有限责任公司","日本同源有限公司","G06F3/0485; G06F3/0488; H04N21/41"
"曾祥海","联益精密(中山)有限公司","G06F1/18"
"广东法诺文化传媒有限公司; 广东中科国志科技发展有限公司","广东中科国志科技发展有限公司","G06F3/01"
"厦门立控科技有限公司","厦门精鼎晟机械有限公司","G06Q10/06; G06K9/00; G06K17/00"
"北京华睿集成科技有限公司","北京赛博联物科技有限公司","G06K9/00"
"广东工业大学; 广东电网有限责任公司揭阳供电局","广东电网有限责任公司揭阳供电局","H02J3/38; G06N3/02"
"深圳市联创知识产权服务中心; 平安普惠企业管理有限公司","深圳市易行网数字科技有限公司; 深圳市联创知识产权服务中心","G06F11/36"
"集美大学","厦门市德道优升教育服务有限公司","H04L29/06; G06N3/08; G06N3/04; G06F40/289"
"北京未来聚典信息技术有限公司","北京元素起点科技有限公司","G06Q30/0202; G06Q30/0207"
"北京工业大学","合肥名龙电子科技有限公司","G06F3/01; G06V40/20; G06V40/10"
"武汉理工大学","嘉兴古奥基因科技有限公司","H04L9/32; H04L9/30; H04L9/08"
"上海掌门科技有限公司","杭州相宜时光科技有限公司","G06F9/451; H04M1/72451"
"童超","珠海天人科技有限公司","H04L29/06; G11B7/125; G11B7/135; G11B7/126"
"山东省科学院自动化研究所","山东信控智能科技有限责任公司","H04L12/26; H04L12/40; H04L29/08; G08C17/02"
"高东伟","中国石油化工股份有限公司; 中石化重庆涪陵页岩气勘探开发有限公司","G06F30/20; G06Q50/02; E21B43/26; E21B43/267; G06F119/14"
"常州伊冉科技有限公司; 常州德诗蓝电子科技有限公司","常州德诗蓝电子科技有限公司; 江苏瀚森电子商务有限公司","G06F17/30"
"北京地平线轨道技术有限公司; 北京交通大学; 神州高铁技术股份有限公司","神州高铁技术股份有限公司; 北京地平线轨道技术有限公司","H04L29/06"
"深圳银链网络科技有限公司; 北京银链速汇科技有限公司; 南京银链信息科技有限公司; 深圳银链科技有限公司","深圳银链科技有限公司; 深圳银链网络科技有限公司; 北京银链速汇科技有限公司; 深圳市众诚品业科技有限公司","H04L29/06"
"郑华平","边角智能科技(上海)有限公司","G06Q10/08"
"重庆杰菱汽车零部件有限公司; 横琴国际知识产权交易中心有限公司; 深圳富泰宏精密工业有限公司; 奇美通讯股份有限公司; 深圳市博尔普森科技有限公司; 烟台华发七弦琴知识产权运营有限公司","横琴国际知识产权交易中心有限公司; 重庆杰菱汽车零部件有限公司; 深圳市博尔普森科技有限公司; 烟台华发七弦琴知识产权运营有限公司","G06F3/01; G06F3/0487"
"中国电力科学研究院有限公司; 国家电网有限公司; 国网宁夏电力有限公司电力科学研究院","中国电力科学研究院有限公司; 国家电网有限公司; 国网宁夏电力有限公司电力科学研究院; 国网甘肃省电力公司","G06F30/20; G06Q50/06"
"杭州东信灵通电子实业公司","杭州东信金融技术服务有限公司","G06K7/01"
"中智城信息科技(苏州)有限公司","永麒科技集团有限公司","H04L12/66; H04L43/10; H04L67/10; H04L67/12; H04L67/141; H04L67/145"
"广州鹤一互联网科技有限公司; 星络智能科技有限公司; 恒大智慧科技有限公司","恒大智慧科技有限公司; 星络家居云物联科技有限公司; 星络智能科技有限公司","G06K9/00; G06K9/20; G06K9/40; G06K9/46; G06F16/53; G06F16/583"
"杭州亿脑智能科技有限公司","杭州亿脑新融科技集团有限公司","H04N5/232; H04N5/913"
"张凯","乌鲁木齐众维汇联信息科技有限公司","G06F3/01"
"深圳科士达科技股份有限公司; 深圳科士达新能源有限公司; 广东科士达工业科技有限公司","深圳科士达新能源有限公司","G06F1/18"
"四川长虹空调有限公司; 四川佳港科技有限公司","四川长虹空调有限公司; 成都康宇医用设备工程有限公司","G06F1/20; H05K7/20"
"南京裕隆生物医学发展有限公司","道可名康医学发展(上海)有限公司","G16H50/30; G16H10/60; G06T7/00; G06N3/08"
"台州学院","台州塔诺科技有限公司","G06T7/70; G06T1/00; G06T7/90; G06K9/00; G06K9/32; G01D21/02; B25J9/16; B25J19/04"
"星闻网股份有限公司","积体数位股份有限公司","G06K9/20; G06K9/00; G07D7/00; G07D7/128"
"西安理工大学","深圳康微视觉技术有限公司","G06F17/10; G01R23/16"
"贵州驰骏合力科技有限公司; 李和良","黄妙娟; 贵州驰骏合力科技有限公司","G06F1/16; G06F1/20"
"江苏吉天科技有限公司","福建天保益科技有限公司","G06F19/00; A61B5/0452"
"国网经济技术研究院有限公司; 国网天津市电力公司; 南京理工大学","国网经济技术研究院有限公司; 国网天津市电力公司","G06F16/906; G06K9/62; G06Q50/06; G06Q10/06; G06Q10/00"
"义乌市开晶进出口有限公司","国网山东省电力公司日照供电公司; 国家电网公司","G06F1/16; G06F21/83"
