"转让人","受让人","IPC分类号"
"北京感瞰科技有限公司","芯梯众和科技有限公司","H04L65/1069; H04L65/40; H04L65/1104; H04L65/65; H04L67/02; H04N7/18; H04N21/643; H04N21/6437"
"西南交通大学; 四川八维九章科技有限公司","四川八维九章科技有限公司","G06V20/52; G06V40/10; G06V10/44; G06V10/764; G06V10/82; G06N3/0464; G06N3/08; G06N5/02; G06N5/04"
"意法半导体有限公司; 意法半导体(格勒诺布尔2)公司; 意法半导体股份有限公司","意法半导体国际有限公司","G06F12/06; H04W74/08; G06F13/16"
"泰瑞创通讯(成都)有限公司","四川泰瑞创通讯技术股份有限公司","G06F13/40; G06F8/61"
"松原市邹佳网络科技有限公司","北京永乐颐康文化产业发展有限公司","G06Q10/04; G06F18/22"
"山东海诺知识产权运营管理有限公司","青岛康丰知识产权运营管理有限公司","G06Q10/10; G06Q10/06"
"强联智创(苏州)医疗科技有限公司; 强联智创(北京)科技有限公司","强联智创(北京)科技有限公司; 强联智创(苏州)医疗科技有限公司","G06T7/33"
"阿波罗(中国)有限公司; 广州市威士丹利健康科技有限公司","广州市威士丹利健康科技有限公司; 广州市威士丹利智能科技有限公司","H04L12/28; H04M1/725; H04W84/12; G05B19/418; H04M1/72415"
"易贝乐教育科技(北京)有限公司; 布朗克斯(北京)管理咨询有限公司","北京易贝乐科技文化股份有限公司","G06F3/01; G09B5/00; G09B5/02"
"湖南理工学院","湖南文理学院","G06F1/18; G06F1/20; G06F21/86; G06F11/32"
"广州腾耐计算机科技有限公司","江苏拓慧科技有限公司","G06F1/16; G06F1/18; G06F13/42"
"国电南瑞科技股份有限公司; 国电南瑞南京控制系统有限公司","国电南瑞科技股份有限公司; 国电南瑞南京控制系统有限公司; 南京南瑞集团公司","H04L7/00"
"中文在线信息科技有限公司","北京中文在线文化发展有限公司","G06F17/30"
"安徽乐盈电子商务有限公司","深圳市着墨科技有限公司","G06F1/18; G06F1/20"
"上海斐讯数据通信技术有限公司","灿音科技(深圳)有限公司","G06Q50/20; G09B5/14; G09B5/06"
"南京农业大学","神农智慧农业研究院南京有限公司","G01N21/25"
"蔡宗富; 深圳职业技术学院; 广州益通知识产权运营有限公司","郑州精铖智能技术有限公司; 广州益通知识产权运营有限公司; 蔡宗富","G06T5/50; G06T7/00"
"深圳市融合视讯科技有限公司","深圳市融创天下科技发展有限公司","H04L9/32"
"中兴通讯股份有限公司; 南京中兴新软件有限责任公司","南京中兴新软件有限责任公司; 中兴通讯股份有限公司","H04L12/58; H04L29/06"
"龙凤英","深圳市和创实业有限公司","G06F21/72; G06F21/79; G06F21/46"
"李孔雀","厦门立马耀网络科技有限公司","G06F21/64; G06F21/60; G06F16/27; G06K9/62"
"北京瀛海智能自动化科技有限公司; 瀛海控股有限公司","聚海祥顺(上海)实业有限公司","G06Q10/08; G06Q50/12"
"天津市方圆电气设备有限公司","天津市海谐投资有限公司","B25J13/08; B25J9/16; B25J11/00"
"王小芹; 任京红","王海鹰; 王小芹","H04L12/54; H04L1/00; H04L12/70"
"中国科学院金属研究所; 大连重工·起重集团有限公司; 大连华锐船用曲轴有限公司","中国科学院金属研究所; 大连华锐重工集团股份有限公司; 大连华锐船用曲轴有限公司; 大连重工·起重集团有限公司","G06F17/50"
"ADT服务有限责任公司; 传感电子公司; 传感电子有限责任公司","泰科消防及安全有限公司; 传感电子有限责任公司; ADT服务有限责任公司","H04L29/06; G06K19/077"
"淮阴工学院","淮安晶逸彩科技有限公司","G06K9/00; G06K9/66"
"雷明凯","周立中","G10L15/26; G10L15/22"
"浙江宏伟机械设备租赁有限公司; 肖凯","嘉兴鼎尚信息科技有限公司; 浙江东吴宏伟网络技术有限公司","G06F3/0354; G06F21/32; G06F21/83; G06K9/00"
"衡宇科技股份有限公司","深圳衡宇芯片科技有限公司","G06F11/10"
"冯明丽","李征宇","G06K19/077; H04W84/12"
"中国医学科学院北京协和医院","萱闱(北京)生物科技有限公司","G06K9/00; G06N3/04; G06N3/08"
"泉州市领鼎机械科技有限公司","黑龙江转换宝科技有限公司","G06F1/20"
"北京博数嘉科技有限公司; 窦志强","窦志强; 北京博数嘉科技有限公司","G06Q50/14; G06Q10/0639; G06Q30/015; G06V40/16"
"成都阿卡林科技发展有限公司","杭州超上科技有限公司","G06Q30/0645; G06Q50/16; G06Q10/02"
"乐视控股(北京)有限公司; 乐卡汽车智能科技(北京)有限公司; 乐视汽车(北京)有限公司; 恒大法拉第未来智能汽车(广东)有限公司","乐视汽车(北京)有限公司; 恒大法拉第未来智能汽车(广东)有限公司; 法法汽车(中国)有限公司","G06F17/30"
"中铁二十二局集团电气化工程有限公司","中铁二十二局集团有限公司; 中铁二十二局集团电气化工程有限公司","G06F17/50"
"深圳亚希诺科技有限公司","深圳路波科技有限公司","H04N5/225; G05D3/12; F16M11/14; G06K9/00; G06T7/20"
"浙江工业大学之江学院","四川玄光立影医疗科技有限公司","G06T5/00; G06T7/00; G06N3/0464; G06N3/08"
"贵州光奕阳数据技术有限公司","光奕科数据技术有限公司","G06Q10/0631; G06Q30/08; G06F16/2458; G06F16/22; G06F1/16; B08B1/00; B08B3/02; B08B13/00"
"上海长望气象科技股份有限公司; 北京爱尔达电子设备有限公司","陈书驰; 上海长望气象科技股份有限公司; 北京爱尔达电子设备有限公司","G06F30/20"
"雄安新区智能城市创新联合会; 天津骐讯科技有限公司; 王春峰; 北京比新科技有限公司","王春峰; 食想鲜生(广东)科技有限公司; 雄安新区智能城市创新联合会; 天津骐讯科技有限公司","G06Q10/00; G06Q30/00"
"鸿富锦精密工业(深圳)有限公司; 鸿海精密工业股份有限公司","肇庆荣仕宝电子科技实业有限公司","G06F3/01; G06F3/03; G06F3/041"
"华侨大学","北京云天畅想信息科技有限公司","G06T5/00; G06T5/50; G06T7/11"
