主体ID,degree,in_degree,out_degree,betweenness,eigenvector,k_core
3RD布兰德私人有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
菲尼克斯投资管理有限公司,1.7328319672841323e-05,1.7328319672841323e-05,0.0,0.0,4.4709524190344765e-05,1
3RD布兰德私人有限公司(公司注册号200719143G),8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
3柯姆公司,1.7328319672841323e-05,0.0,1.7328319672841323e-05,0.0,3.4391941684880583e-06,1
UT斯达康有限公司,1.7328319672841323e-05,8.664159836420662e-06,8.664159836420662e-06,0.0,2.407435917941641e-05,1
惠普公司,3.4656639345682646e-05,1.7328319672841323e-05,1.7328319672841323e-05,0.0,4.4709524190344765e-05,1
"3柯姆公司; 惠普发展公司, 有限责任合伙企业; 惠普公司",8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
4SIGHT成像有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
AI创新集团有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
6河流系统有限责任公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
奥卡多创新有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
725105不列颠哥伦比亚有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
采集播放系统公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
7801769加拿大公司; 2236008安大略有限公司; 8758271加拿大有限公司; QNX软件操作系统德国有限公司; QNX软件系统有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
QNX软件系统有限公司; 黑莓有限公司; 2236008安大略有限公司; 7801769加拿大公司; 8758271加拿大有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
7H 环球公司; IDHL控股公司; 交互数字无线公司; 交互数字控股公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
交互数字无线公司; 7H 环球公司; 交互数字控股公司; DRNC 控股公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
8758271加拿大有限公司; 2236008安大略有限公司; QNX软件系统有限公司; QNX软件操作系统(威美科)有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
2236008安大略有限公司; 黑莓有限公司; 8758271加拿大有限公司; QNX软件系统总公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
8758271加拿大有限公司; 7801769加拿大公司; 2236008安大略有限公司; QNX软件系统有限公司; QNX软件操作系统德国有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
2236008安大略有限公司; QNX软件系统有限公司; 黑莓有限公司; 8758271加拿大有限公司; 7801769加拿大公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
8758271加拿大有限公司; QNX软件系统有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
2236008安大略有限公司; 8758271加拿大有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
A-COM公司; M,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
奥托里夫ASP股份有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
A.M.总建筑股份公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
法伊韦利传送器意大利有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
A.P.M.自动化解决方案公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
罗斯蒙特储罐雷达股份公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
A.P.穆勒-马士基有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
马士基有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
A2Z罗基克斯公司; 斯皮内拉IP控股公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
A2Z罗基克斯公司; AD持久有限责任公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
ABB 技术有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ABB瑞士股份有限公司,0.00010396991803704795,8.664159836420661e-05,1.7328319672841323e-05,0.0,0.0016198604533578748,2
ABB 技术有限公司; ABB瑞士股份有限公司; 日立能源瑞士股份公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ABB瑞士股份有限公司; ABB电网瑞士股份公司; 日立能源有限公司,5.198495901852397e-05,5.198495901852397e-05,0.0,0.0,0.00012725018423405816,2
ABB 技术有限公司; 日立能源瑞士股份公司; ABB瑞士股份有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ABB瑞士股份有限公司; 日立能源有限公司; ABB电网瑞士股份公司,4.3320799182103306e-05,4.3320799182103306e-05,0.0,0.0,0.00010661501922312985,2
