"转让人","受让人","申请人地区","受让人地址","转让人省份","受让人省份"
"深圳市鑫全盛工贸有限公司","惠州市鑫全盛精密科技有限公司","广东","516006 广东省惠州市仲恺高新区东江科技园东兴片区东锦南路5号","广东","51"
"哈尔滨沅辰科技有限公司","赵颖淑; 杨晓峰","黑龙江","150001 黑龙江省哈尔滨市南岗区沿河路37号大自然家园3号楼3单元501室","黑龙","15"
"泰州可以信息科技有限公司; 常州寰企网络技术有限公司; 江苏首擎软件科技有限公司","江苏首擎软件科技有限公司; 南通百丰信息技术有限公司; 常州寰企网络技术有限公司","江苏","226000 江苏省南通市崇川区洪江路180号; 226000 江苏省南通市崇川区狼山镇街道世纪大道39(原377)号三层02、03室; 213000 江苏省常州市新北区汉江西路91号拨云科技园","江苏","22"
"深圳市言鼎科技有限公司","深圳市言鼎电脑有限公司","广东","518000 广东省深圳市宝安区西乡宝民二路臣田工业区第27栋3.4楼","广东","51"
"齐鲁工业大学","山东新睿信息科技有限公司","山东","250098 山东省济南市历下区银荷大厦D座518","山东","25"
"德信互动科技(北京)有限公司","英佰科技(沈阳)有限公司","北京","110013 辽宁省沈阳市沈北新区辉山经济开发区耀阳路18-10号","北京","11"
"卢森特技术有限公司; 阿尔卡特朗讯美国公司; 阿尔卡特朗讯公司","阿尔卡特朗讯美国公司; 阿尔卡特朗讯公司; 创新收购第一公司","美国","美国新泽西州; 法国巴黎; 美国特拉华州","美国","美国"
"SK电信有限公社","SK普兰尼特有限公司","韩国","韩国首尔","韩国","韩国"
"深圳市中识健康科技有限公司","深圳市利众信息科技有限公司","广东","518000 广东省深圳市前海深港合作区前湾一路1号A栋201室(入驻深圳市前海商务秘书有限公司)","广东","51"
"电子科技大学中山学院; 龙图腾网科技(合肥)股份有限公司","龙图腾网科技(合肥)股份有限公司; 水发数能(北京)科技产业有限公司","广东","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼; 100032 北京市西城区百万庄大街16号2号楼6层2616室","广东","23"
"日本电产三协株式会社","日本电产三协(浙江)有限公司; 日本电产三协株式会社","日本","浙江省平湖市经济开发区兴平二路888号","日本","浙江"
"北京航空航天大学","北京博奥瑞科技有限公司","北京","100041 北京石景山区八大处高科技园区西井路3号3号楼2961房间","北京","10"
"上海路辉智能系统股份有限公司","路辉智能科技(上海)有限公司","上海","200060 上海市普陀区曹杨路1888号11号3楼306室-P","上海","20"
"北京三春晖医疗器械有限公司; 北京玖门春医疗科技有限公司","北京玖门春医疗科技有限公司; 北京三春晖医疗器械有限公司","北京","100176 北京市大兴区北京经济技术开发区荣华南路1号院7号楼6层602; 100176 北京市大兴区北京经济技术开发区博兴五路10号1幢4层420-6","北京","10"
"林晨怡; 四川用联信息技术有限公司","林晨怡; 趣增信息科技(上海)有限公司","上海","200001 上海市黄浦区浙江中路400号17楼1710室; 361000 福建省厦门市海沧区万科城35号A303","上海","20"
"南京霍室凯贸易有限公司","深圳市盛冠电子有限公司","广东","518107 广东省深圳市光明新区公明街道合水口社区旭发科技园第五栋1、2、3、4层","广东","51"
